,speed,gear,brake,throttle,revs,transmission_speed
281,[22.07636502009485],[2.0],[0.0],[1.0],[600.0],[998.6950386679736]
282,[22.065751474759573],[2.0],[0.0],[1.0],[600.0],[998.2149009705143]
283,[22.055145978153377],[2.0],[0.0],[1.0],[600.0],[997.7351273830791]
284,[22.044548520373805],[2.0],[0.0],[1.0],[600.0],[997.2557174576988]
285,[22.0339590915347],[2.0],[0.0],[1.0],[600.0],[996.7766707471415]
286,[22.023377681766167],[2.0],[0.0],[1.0],[600.0],[996.2979868049105]
287,[22.012804281214535],[2.0],[0.0],[1.0],[600.0],[995.8196651852438]
288,[22.002238880042327],[2.0],[0.0],[1.0],[600.0],[995.3417054431117]
289,[21.991681468428226],[2.0],[0.0],[1.0],[600.0],[994.8641071342151]
290,[21.98113203656704],[2.0],[0.0],[1.0],[600.0],[994.3868698149853]
291,[21.970590574669682],[2.0],[0.0],[1.0],[600.0],[993.909993042581]
292,[21.960057072963117],[2.0],[0.0],[1.0],[600.0],[993.4334763748881]
293,[21.949531521690343],[2.0],[0.0],[1.0],[600.0],[992.9573193705173]
294,[21.939013911110354],[2.0],[0.0],[1.0],[600.0],[992.481521588803]
295,[21.928504231498117],[2.0],[0.0],[1.0],[600.0],[992.0060825898023]
296,[21.918002473144522],[2.0],[0.0],[1.0],[600.0],[991.5310019342922]
297,[21.90750862635636],[2.0],[0.0],[1.0],[600.0],[991.0562791837698]
298,[21.8970226814563],[2.0],[0.0],[1.0],[600.0],[990.5819139004494]
299,[21.88654462878283],[2.0],[0.0],[1.0],[600.0],[990.1079056472623]
300,[21.876074458690244],[2.0],[0.0],[1.0],[600.0],[989.634253987854]
301,[21.86561216154863],[2.0],[0.0],[1.0],[600.0],[989.1609584865841]
302,[21.855157727743784],[2.0],[0.0],[1.0],[600.0],[988.6880187085238]
303,[21.844711147677227],[2.0],[0.0],[1.0],[600.0],[988.2154342194551]
304,[21.834272411766168],[2.0],[0.0],[1.0],[600.0],[987.7432045858694]
305,[21.82384151044343],[2.0],[0.0],[1.0],[600.0],[987.2713293749655]
306,[21.813418434157473],[2.0],[0.0],[1.0],[600.0],[986.7998081546481]
307,[21.80300317337233],[2.0],[0.0],[1.0],[600.0],[986.3286404935278]
308,[21.792595718567576],[2.0],[0.0],[1.0],[600.0],[985.8578259609177]
309,[21.782196060238324],[2.0],[0.0],[1.0],[600.0],[985.3873641268334]
310,[21.771804188895153],[2.0],[0.0],[1.0],[600.0],[984.917254561991]
311,[21.761420095064114],[2.0],[0.0],[1.0],[600.0],[984.4474968378057]
312,[21.751043769286674],[2.0],[0.0],[1.0],[600.0],[983.9780905263908]
313,[21.740675202119697],[2.0],[0.0],[1.0],[600.0],[983.5090352005557]
314,[21.730314384135397],[2.0],[0.0],[1.0],[600.0],[983.0403304338045]
315,[21.719961305921352],[2.0],[0.0],[1.0],[600.0],[982.5719758003355]
316,[21.709615958080402],[2.0],[0.0],[1.0],[600.0],[982.103970875039]
317,[21.69927833123068],[2.0],[0.0],[1.0],[600.0],[981.6363152334957]
318,[21.688948416005555],[2.0],[0.0],[1.0],[600.0],[981.1690084519761]
